,R1_ub,R1,R7,R8,R9
0,0.001,0.0010000000474974513,0.0006666666983316342,0.0013333333966632683,0.0
1,0.011,0.011000000056810677,0.007333333371207118,0.014666666742414236,0.0
2,0.020999999999999998,0.02099999994970858,0.013999999966472387,0.027999999932944775,0.0
3,0.030999999999999996,0.030999999959021807,0.02066666663934787,0.04133333327869574,0.0
4,0.040999999999999995,0.04099999996833503,0.027333333312223356,0.05466666662444671,0.0
5,0.05099999999999999,0.05099999997764826,0.03399999998509884,0.06799999997019768,0.0
6,0.06099999999999999,0.060999999986961484,0.03709857399614352,0.07419714799228704,0.010704277985492418
7,0.071,0.07099999999627471,0.03984397064829195,0.0796879412965839,0.022468088047673574
8,0.08099999999999999,0.08100000000558794,0.04258936730044038,0.08517873460088077,0.034231898109854726
9,0.09099999999999998,0.09026711697881484,0.04513355848940743,0.09026711697881484,0.04513355848940745
